delay_steps,none,low,medium,high,vhigh,xhigh
0,1.0,0.8333333333333334,0.5833333333333334,0.5,0.3333333333333333,0.25
6,1.0,1.0,1.0,0.9166666666666666,0.6666666666666666,0.4166666666666667
18,1.0,1.0,1.0,1.0,0.9166666666666666,0.75
36,1.0,1.0,1.0,1.0,1.0,0.9166666666666666
