time_s,K=0.0_mean,K=0.0_std,K=1.0_mean,K=1.0_std,learned_mean,learned_std
0.0,0.8133504301309585,0.24197874639966305,0.8133504301309585,0.24197874639966305,0.8133504301309585,0.24197874639966305
0.02,0.8169068992137909,0.24006160762971165,0.8169068992137909,0.24006160762971165,0.8169068992137909,0.24006160762971165
0.04,0.7059794792107174,0.18417570265405941,0.7059794792107174,0.18417570265405941,0.7059794792107174,0.18417570265405941
0.06,0.7123528037752423,0.1836040332150427,0.7123528037752423,0.1836040332150427,0.7123528037752423,0.1836040332150427
0.08,0.7179190771920341,0.1834339073973535,0.7179190771920341,0.1834339073973535,0.7179190771920341,0.1834339073973535
0.1,0.7214927162442889,0.1836878364332567,0.7214927162442889,0.1836878364332567,0.7214927162442889,0.1836878364332567
0.12,0.7245367211954934,0.18385205888275336,0.7245367211954934,0.18385205888275336,0.7245367211954934,0.18385205888275336
0.14,0.727213476385389,0.18390249548216495,0.727213476385389,0.18390249548216495,0.727213476385389,0.18390249548216495
0.16,0.72934604542596,0.18372012670122775,0.72934604542596,0.18372012670122775,0.72934604542596,0.18372012670122775
0.18,0.7311215570994786,0.18292365656359003,0.7311215570994786,0.18292365656359003,0.7311215570994786,0.18292365656359003
0.2,0.7321069325719561,0.18116713208867483,0.7321069325719561,0.18116713208867483,0.7321069325719561,0.18116713208867483
0.22,0.7320794633456639,0.17882746782979392,0.7320794633456639,0.17882746782979392,0.7320794633456639,0.17882746782979392
0.24,0.73093695299966,0.17645402150585407,0.73093695299966,0.17645402150585407,0.73093695299966,0.17645402150585407
0.26,0.7289021696363177,0.17440931979462546,0.7289021696363177,0.17440931979462546,0.7289021696363177,0.17440931979462546
0.28,0.7261401542595455,0.1731842946412112,0.7261401542595455,0.1731842946412112,0.7261401542595455,0.1731842946412112
0.3,0.7238272513662066,0.17270139484306274,0.7238272513662066,0.17270139484306274,0.7238272513662066,0.17270139484306274
0.32,0.7206930049828121,0.17291730023026866,0.7206930049828121,0.17291730023026866,0.7206930049828121,0.17291730023026866
0.34,0.7163273181234088,0.17371148031709036,0.7163273181234088,0.17371148031709036,0.7163273181234088,0.17371148031709036
0.36,0.7109402801309314,0.17479503011285843,0.7109402801309314,0.17479503011285843,0.7109402801309314,0.17479503011285843
0.38,0.7053709583623069,0.17578789697566619,0.7053709583623069,0.17578789697566619,0.7053709583623069,0.17578789697566619
0.4,0.6994770126683372,0.17662092902769597,0.6994578327451434,0.17660350652006246,0.6994596932615552,0.17660669001241494
0.42,0.6929766450609479,0.1773656884712494,0.6929044638361249,0.17717819099042845,0.6929135067122323,0.17719274055864043
0.44,0.6859195530414581,0.1778834442840109,0.6856905732836042,0.17715065820054407,0.6857029412473951,0.17717042820085055
0.46,0.6790327514920916,0.17725080037911076,0.6786384199346814,0.17574627580734092,0.6786430350371769,0.17575443706887683
0.48,0.6722327811377389,0.1754625140999067,0.672180563211441,0.17363473148696412,0.6721761184079307,0.17362795445947216
0.5,0.6659096351691655,0.1731663637794503,0.6666372844151088,0.1715081779021105,0.6666305320603507,0.1715014901493385
0.52,0.6597089980329786,0.16981669352302767,0.6615236188684191,0.1678901806349376,0.6615184417792729,0.1678954576526529
0.54,0.6533290275505611,0.16579457678358245,0.6560700918946948,0.1639129143836793,0.6560682356357574,0.16392446500859037
0.56,0.6469912145818982,0.16130001806290792,0.6512418261596135,0.15939882274661563,0.6512454237256732,0.15941225197927092
0.58,0.6421907884734017,0.15712578809244865,0.6479405420167106,0.1549022931870437,0.6479580572673252,0.1549234906489638
