delay_steps,none,low,medium,high,vhigh,xhigh
0,1.0,0.8333333333333334,0.6666666666666666,0.4166666666666667,0.3333333333333333,0.25
6,1.0,1.0,1.0,0.8333333333333334,0.75,0.5
18,1.0,1.0,1.0,0.9166666666666666,0.9166666666666666,0.8333333333333334
36,1.0,1.0,1.0,1.0,1.0,0.8333333333333334
