controller,success_010_K1,max_abs_delta_min,max_abs_delta_final
Heuristic (E),0.0,0.006962088495492957,0.005163541436195351
Joint PD + IK (D),0.016666666666666666,0.032005217671394304,0.08558594286441801
BC full,0.11666666666666668,0.01839426681399342,0.02505091801285747
BC v1 (-target),0.09999999999999999,0.002089451253414143,0.002970080822706278
"BC v2 (-target, -reach_err)",0.09999999999999999,0.0016128964722156303,0.00624955520033843
